N_train,seed,lambda,MAE,RMSE,physics_adherence_MAE
100,0,0.1,0.06981948389363477,0.0885385670965128,0.059122164318452464
100,0,0.2,0.07315132134276042,0.09147918762221875,0.047146169716964434
100,0,0.35,0.07155490016932901,0.08904491336101934,0.04554548646880494
100,0,0.5,0.07876774185029893,0.09738544466163528,0.04393297324817151
100,0,0.75,0.07648371667455788,0.09390578808002731,0.04124262533239371
100,0,1.0,0.07721541391582974,0.0941245088704985,0.03980865525027249
100,0,1.5,0.07711456155565968,0.09479024454102487,0.036741081168587146
100,0,2.0,0.0780817915374107,0.09522733209646657,0.03370745007767209
100,1,0.0,0.06948352824793637,0.0893877496304048,0.09100122501426305
100,1,0.02,0.06331604650246386,0.08122659695886128,0.07515264545186036
100,1,0.05,0.06087438153746769,0.07629752148753981,0.0648610927232617
100,1,0.1,0.06494989665075131,0.0803496634876012,0.05871531072341495
100,1,0.2,0.06956260077168301,0.08731542193484759,0.05763614576983863
100,1,0.35,0.0711425404556363,0.09107342281224846,0.05484357019016395
100,1,0.5,0.07166445768749295,0.08972926175782132,0.05259167583294153
100,1,0.75,0.06792352577343007,0.08512691503890565,0.04403499673060045
100,1,1.0,0.06896824241015323,0.08565760996172776,0.04062443787004042
100,1,1.5,0.0708419939484652,0.08628973254974164,0.033931887239583666
100,1,2.0,0.06792268025415384,0.08362007592471567,0.030808792124961036
100,2,0.0,0.07256274121161056,0.09421314112026358,0.09542802323219593
100,2,0.02,0.06294466849610042,0.0844474457612052,0.07557427924513382
100,2,0.05,0.06504366898616641,0.08527310423905009,0.06496068251898053
100,2,0.1,0.0665096839561446,0.08697297745533443,0.06000327683091587
100,2,0.2,0.06566938771513364,0.08492752622261211,0.05277060760062392
100,2,0.35,0.06976507804756707,0.08926532754407358,0.048429517276351496
100,2,0.5,0.06973127831750761,0.0887086456956086,0.04429327886134424
100,2,0.75,0.0694142648580614,0.0881564702263243,0.03961210513989055
100,2,1.0,0.06994972588990635,0.08790343692829766,0.036507094617834725
100,2,1.5,0.07230228238117249,0.08896707926375585,0.0321789325093383
100,2,2.0,0.07228183120552081,0.08751345152287436,0.02714956772291142
100,3,0.0,0.07513558661137491,0.09876222044245676,0.09564891754665798
100,3,0.02,0.06360306698456003,0.08188644597770307,0.0658368341381559
100,3,0.05,0.06832327748768562,0.08906599071301488,0.06232547364556841
100,3,0.1,0.06901802962461186,0.08674758732497528,0.05718932000051669
100,3,0.2,0.0751332600900857,0.09384050032193197,0.05300801848902839
100,3,0.35,0.07478193085236504,0.09119554958408371,0.05263630189251212
100,3,0.5,0.08078473419353575,0.09870842989692288,0.050539893338609115
100,3,0.75,0.07787331495312919,0.095677792567671,0.044823440707907405
100,3,1.0,0.0742075518861625,0.09145171265001935,0.04090697172432213
100,3,1.5,0.07579158476315351,0.09285880438386668,0.03575529824115934
100,3,2.0,0.07346899436706503,0.08922808373799856,0.031274643554815046
100,4,0.0,0.08587130232746372,0.11122727118363376,0.10467987990621527
100,4,0.02,0.07396890143446971,0.09466084977353305,0.08526996419507654
100,4,0.05,0.07183347458075134,0.09141490084477823,0.07661551107643276
100,4,0.1,0.07369087184892291,0.09406926641339185,0.07317845299586807
100,4,0.2,0.07625369929329551,0.09595819378225112,0.06607838944593974
100,4,0.35,0.07525059955219009,0.09476755565851325,0.05996757746946404
100,4,0.5,0.07456423978898359,0.09468632518100796,0.05549224973971433
100,4,0.75,0.07254790898228773,0.09277290487676258,0.049845525227585716
100,4,1.0,0.07142386666104304,0.09026539319962269,0.045995006284365425
100,4,1.5,0.06888838016382558,0.08523650798768798,0.03785614755709941
100,4,2.0,0.06776041746935173,0.08264783426230604,0.0334184720841853
100,5,0.0,0.09014228704568912,0.11832125844533514,0.1051202439434799
100,5,0.02,0.07160294560716156,0.09272215210301765,0.0809336620513388
100,5,0.05,0.06655434505080887,0.0857543522727115,0.06947439862311222
100,5,0.1,0.06692862780629331,0.08629155705913037,0.06455175263399437
100,5,0.2,0.06989069483491948,0.08906897485822962,0.05276602725962526
100,5,0.35,0.07139439977722498,0.09082717365045544,0.0481790031139968
