N_train,seed,model,lambda_selected,MAE,RMSE,R2
40,11,PGNN,0.75,0.07976859126884199,0.09754535029209803,0.8351618203158905
65,0,PLS,,0.0912921320253427,0.11957296842532585,0.7523087377657065
65,0,Standard_MLP,,0.08966659795273475,0.11820550012915318,0.7579416690914732
65,0,PGNN,2.0,0.07805766035536717,0.09668235587032359,0.8380656011493552
65,1,PLS,,0.10429559585147334,0.14137594022061922,0.6537453000507821
65,1,Standard_MLP,,0.10796718851151088,0.1423256755427963,0.6490775341795987
65,1,PGNN,0.35,0.0747235699624358,0.09624824065527335,0.8395165455779066
65,2,PLS,,0.091882650934211,0.12016741968355947,0.7498398456127325
65,2,Standard_MLP,,0.09205904753159247,0.127110665515099,0.7200962932873329
65,2,PGNN,0.02,0.07006363579518154,0.09105647206381615,0.8563630071668406
65,3,PLS,,0.09096223448811269,0.1248623493812586,0.7299105197263662
65,3,Standard_MLP,,0.09491753436677954,0.13447707534405837,0.6867138646755773
65,3,PGNN,0.2,0.07646862767402202,0.0964795648026544,0.83874420294026
65,4,PLS,,0.09886012121739438,0.13485879339938936,0.6849327923253107
65,4,Standard_MLP,,0.1086646178269406,0.14737105735932232,0.6237564498431729
65,4,PGNN,2.0,0.07764678319515426,0.09347921598083013,0.8486178088051786
65,5,PLS,,0.09579136227248043,0.12361473052642151,0.7352809975641463
65,5,Standard_MLP,,0.08503475859778437,0.10820835543091008,0.7971540888553655
65,5,PGNN,0.5,0.07244357395698466,0.09151477050382002,0.8549134831517491
65,6,PLS,,0.08907619796988042,0.11420460481275957,0.7740502343051264
65,6,Standard_MLP,,0.08546982353280143,0.11185228105374823,0.7832623524734866
65,6,PGNN,0.02,0.06737563209367452,0.0903811620497631,0.8584856417156157
65,7,PLS,,0.08922652082594323,0.11829623206155611,0.7575699292142598
65,7,Standard_MLP,,0.08202689010685794,0.10917693386479749,0.7935064686635117
65,7,PGNN,0.35,0.07637962107199503,0.09476833203264033,0.8444137768457685
65,8,PLS,,0.11146862278405219,0.14707703887074114,0.6252562315637772
65,8,Standard_MLP,,0.0868436395192008,0.11123567793141521,0.7856453660377686
65,8,PGNN,0.75,0.07922508001675348,0.10013963596584514,0.8262772557280775
65,9,PLS,,0.08992666746186373,0.12075695218259579,0.7473792901920606
65,9,Standard_MLP,,0.07747514721526683,0.10317711116863698,0.8155785668414496
65,9,PGNN,0.35,0.0774023395700299,0.0947805404928028,0.8443736877038525
65,10,PLS,,0.09387312794290185,0.12810458385140205,0.7157018689852368
65,10,Standard_MLP,,0.08609337709326573,0.11006673985022249,0.7901268549938076
65,10,PGNN,0.1,0.07117161695647546,0.0900573137887796,0.8594979560439449
65,11,PLS,,0.08909016806250332,0.11584976730134186,0.7674935548156051
65,11,Standard_MLP,,0.07990650811307339,0.10409776624663375,0.8122726777111701
65,11,PGNN,0.02,0.06977038528592816,0.08858560232811753,0.8640525863958595
100,0,PLS,,0.0868836525092575,0.11338472635789446,0.7772827901632432
100,0,Standard_MLP,,0.06683116573315367,0.08794626752714965,0.8660078086472283
100,0,PGNN,1.5,0.07339212822409438,0.0887313775917177,0.8636047918229443
100,1,PLS,,0.08896483178754439,0.11763621615793193,0.7602675862754997
100,1,Standard_MLP,,0.0875814995746654,0.11276836366784172,0.7796976033159608
100,1,PGNN,0.1,0.07453530751041551,0.09564450708736302,0.8415235510186603
100,2,PLS,,0.08498017690813504,0.11227407486432753,0.7816246394705164
100,2,Standard_MLP,,0.07595737535222433,0.10070229682615302,0.8243195574326275
100,2,PGNN,1.5,0.07525234480896531,0.09242950584701509,0.8519985647431502
100,3,PLS,,0.08825687293772794,0.1211207905812091,0.7458547141062675
100,3,Standard_MLP,,0.08314338836041259,0.1079475379475083,0.7981307601996589
100,3,PGNN,0.2,0.07121724439109904,0.0899069813713556,0.8599666438512062
